"company_name","job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","skills"
"Uclahealthcareers",1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Full-time","217000.0","2023-01-17 00:17:23","oracle"
"Uclahealthcareers",1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Full-time","217000.0","2023-01-17 00:17:23","tableau"
"Uclahealthcareers",1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Full-time","217000.0","2023-01-17 00:17:23","flow"
"SmartAsset",168310,"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","2023-08-09 11:00:01","sql"
"SmartAsset",168310,"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","2023-08-09 11:00:01","python"
"SmartAsset",168310,"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","2023-08-09 11:00:01","go"
"SmartAsset",168310,"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","2023-08-09 11:00:01","snowflake"
"SmartAsset",168310,"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","2023-08-09 11:00:01","pandas"
"SmartAsset",168310,"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","2023-08-09 11:00:01","numpy"
"SmartAsset",168310,"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","2023-08-09 11:00:01","excel"
"SmartAsset",168310,"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","2023-08-09 11:00:01","tableau"
"SmartAsset",168310,"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","2023-08-09 11:00:01","gitlab"
"Inclusively",731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07 15:00:13","sql"
"Inclusively",731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07 15:00:13","python"
"Inclusively",731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07 15:00:13","azure"
"Inclusively",731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07 15:00:13","aws"
"Inclusively",731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07 15:00:13","oracle"
"Inclusively",731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07 15:00:13","snowflake"
"Inclusively",731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07 15:00:13","tableau"
"Inclusively",731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07 15:00:13","power bi"
"Inclusively",731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07 15:00:13","sap"
"Inclusively",731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07 15:00:13","jenkins"
"Inclusively",731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07 15:00:13","bitbucket"
"Inclusively",731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07 15:00:13","atlassian"
"Inclusively",731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07 15:00:13","jira"
"Inclusively",731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07 15:00:13","confluence"
"Motional",310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","2023-01-05 00:00:25","sql"
"Motional",310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","2023-01-05 00:00:25","python"
"Motional",310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","2023-01-05 00:00:25","r"
"Motional",310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","2023-01-05 00:00:25","git"
"Motional",310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","2023-01-05 00:00:25","bitbucket"
"Motional",310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","2023-01-05 00:00:25","atlassian"
"Motional",310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","2023-01-05 00:00:25","jira"
"Motional",310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","2023-01-05 00:00:25","confluence"
"SmartAsset",1749593,"Principal Data Analyst","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","sql"
"SmartAsset",1749593,"Principal Data Analyst","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","python"
"SmartAsset",1749593,"Principal Data Analyst","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","go"
"SmartAsset",1749593,"Principal Data Analyst","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","snowflake"
"SmartAsset",1749593,"Principal Data Analyst","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","pandas"
"SmartAsset",1749593,"Principal Data Analyst","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","numpy"
"SmartAsset",1749593,"Principal Data Analyst","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","excel"
"SmartAsset",1749593,"Principal Data Analyst","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","tableau"
"SmartAsset",1749593,"Principal Data Analyst","Anywhere","Full-time","186000.0","2023-07-11 16:00:05","gitlab"
"Get It Recruit - Information Technology",387860,"ERM Data Analyst","Anywhere","Full-time","184000.0","2023-06-09 08:01:04","sql"
"Get It Recruit - Information Technology",387860,"ERM Data Analyst","Anywhere","Full-time","184000.0","2023-06-09 08:01:04","python"
"Get It Recruit - Information Technology",387860,"ERM Data Analyst","Anywhere","Full-time","184000.0","2023-06-09 08:01:04","r"
